Loaded checkpoints/v0.7.1/deepnash_async_v0.7.1_100000.pt (history=8); engine=/home/tristan/Dropbox/JKU/Semester_14/02_thesis/deepnash-rbc/tools/stockfish/stockfish-ubuntu-x86-64-bmi2
[mq:trout] game 1/100 (W, win): 6 moves analysed
[mq:trout] game 2/100 (B, win): 4 moves analysed
[mq:trout] game 3/100 (W, win): 6 moves analysed
[mq:trout] game 4/100 (B, win): 4 moves analysed
[mq:trout] game 5/100 (W, win): 5 moves analysed
[mq:trout] game 6/100 (B, win): 4 moves analysed
[mq:trout] game 7/100 (W, win): 5 moves analysed
[mq:trout] game 8/100 (B, win): 4 moves analysed
[mq:trout] game 9/100 (W, win): 6 moves analysed
[mq:trout] game 10/100 (B, win): 4 moves analysed
[mq:trout] game 11/100 (W, win): 5 moves analysed
[mq:trout] game 12/100 (B, win): 4 moves analysed
[mq:trout] game 13/100 (W, win): 6 moves analysed
[mq:trout] game 14/100 (B, win): 5 moves analysed
[mq:trout] game 15/100 (W, win): 6 moves analysed
[mq:trout] game 16/100 (B, win): 5 moves analysed
[mq:trout] game 17/100 (W, win): 5 moves analysed
[mq:trout] game 18/100 (B, win): 4 moves analysed
[mq:trout] game 19/100 (W, win): 5 moves analysed
[mq:trout] game 20/100 (B, win): 4 moves analysed
[mq:trout] game 21/100 (W, win): 5 moves analysed
[mq:trout] game 22/100 (B, win): 4 moves analysed
[mq:trout] game 23/100 (W, win): 5 moves analysed
[mq:trout] game 24/100 (B, win): 4 moves analysed
[mq:trout] game 25/100 (W, win): 5 moves analysed
[mq:trout] game 26/100 (B, win): 5 moves analysed
[mq:trout] game 27/100 (W, win): 5 moves analysed
[mq:trout] game 28/100 (B, win): 5 moves analysed
[mq:trout] game 29/100 (W, win): 5 moves analysed
[mq:trout] game 30/100 (B, win): 5 moves analysed
[mq:trout] game 31/100 (W, loss): 19 moves analysed
[mq:trout] game 32/100 (B, win): 5 moves analysed
[mq:trout] game 33/100 (W, win): 5 moves analysed
[mq:trout] game 34/100 (B, win): 4 moves analysed
[mq:trout] game 35/100 (W, win): 5 moves analysed
[mq:trout] game 36/100 (B, win): 4 moves analysed
[mq:trout] game 37/100 (W, win): 5 moves analysed
[mq:trout] game 38/100 (B, win): 5 moves analysed
[mq:trout] game 39/100 (W, win): 5 moves analysed
[mq:trout] game 40/100 (B, loss): 28 moves analysed
[mq:trout] game 41/100 (W, win): 5 moves analysed
[mq:trout] game 42/100 (B, win): 5 moves analysed
[mq:trout] game 43/100 (W, win): 5 moves analysed
[mq:trout] game 44/100 (B, win): 5 moves analysed
[mq:trout] game 45/100 (W, win): 5 moves analysed
[mq:trout] game 46/100 (B, win): 4 moves analysed
[mq:trout] game 47/100 (W, win): 8 moves analysed
[mq:trout] game 48/100 (B, win): 4 moves analysed
[mq:trout] game 49/100 (W, win): 5 moves analysed
[mq:trout] game 50/100 (B, loss): 6 moves analysed
[mq:trout] game 51/100 (W, win): 5 moves analysed
[mq:trout] game 52/100 (B, loss): 19 moves analysed
[mq:trout] game 53/100 (W, win): 5 moves analysed
[mq:trout] game 54/100 (B, win): 5 moves analysed
[mq:trout] game 55/100 (W, win): 6 moves analysed
[mq:trout] game 56/100 (B, loss): 16 moves analysed
[mq:trout] game 57/100 (W, win): 5 moves analysed
[mq:trout] game 58/100 (B, win): 4 moves analysed
[mq:trout] game 59/100 (W, win): 6 moves analysed
[mq:trout] game 60/100 (B, win): 4 moves analysed
[mq:trout] game 61/100 (W, win): 6 moves analysed
[mq:trout] game 62/100 (B, win): 5 moves analysed
[mq:trout] game 63/100 (W, win): 5 moves analysed
[mq:trout] game 64/100 (B, win): 5 moves analysed
[mq:trout] game 65/100 (W, win): 5 moves analysed
[mq:trout] game 66/100 (B, win): 4 moves analysed
[mq:trout] game 67/100 (W, win): 5 moves analysed
[mq:trout] game 68/100 (B, loss): 25 moves analysed
[mq:trout] game 69/100 (W, win): 5 moves analysed
[mq:trout] game 70/100 (B, win): 6 moves analysed
[mq:trout] game 71/100 (W, win): 6 moves analysed
[mq:trout] game 72/100 (B, win): 4 moves analysed
[mq:trout] game 73/100 (W, win): 5 moves analysed
[mq:trout] game 74/100 (B, win): 4 moves analysed
[mq:trout] game 75/100 (W, win): 5 moves analysed
[mq:trout] game 76/100 (B, win): 5 moves analysed
[mq:trout] game 77/100 (W, win): 6 moves analysed
[mq:trout] game 78/100 (B, win): 4 moves analysed
[mq:trout] game 79/100 (W, win): 5 moves analysed
[mq:trout] game 80/100 (B, win): 4 moves analysed
[mq:trout] game 81/100 (W, win): 6 moves analysed
[mq:trout] game 82/100 (B, win): 4 moves analysed
[mq:trout] game 83/100 (W, win): 5 moves analysed
[mq:trout] game 84/100 (B, win): 4 moves analysed
[mq:trout] game 85/100 (W, win): 5 moves analysed
[mq:trout] game 86/100 (B, win): 5 moves analysed
[mq:trout] game 87/100 (W, win): 5 moves analysed
[mq:trout] game 88/100 (B, win): 4 moves analysed
[mq:trout] game 89/100 (W, win): 5 moves analysed
[mq:trout] game 90/100 (B, win): 5 moves analysed
[mq:trout] game 91/100 (W, win): 5 moves analysed
[mq:trout] game 92/100 (B, win): 5 moves analysed
[mq:trout] game 93/100 (W, win): 5 moves analysed
[mq:trout] game 94/100 (B, win): 4 moves analysed
[mq:trout] game 95/100 (W, win): 5 moves analysed
[mq:trout] game 96/100 (B, win): 4 moves analysed
[mq:trout] game 97/100 (W, win): 5 moves analysed
[mq:trout] game 98/100 (B, win): 5 moves analysed
[mq:trout] game 99/100 (W, win): 5 moves analysed
