
=== Leaderboard (686502 games, 139 errored) ===
player                       elo  games   score   +/-
v0.14.0_70000                860   4200    0.77     5
v0.14.0_80000                835   4200    0.76     5
v0.8.0_80000                 817   4200    0.75     5
v0.8.0_70000                 816   4200    0.75     5
v0.8.0_60000                 815   4200    0.74     5
v0.23.0_70000                814   4200    0.73     5
v0.22.0_50000                810   4199    0.72     5
v0.36.0_80000                807   2994    0.72     6
v0.19.0_70000                802   4200    0.69     5
mht                          799   4192    0.72     5
v0.42.0_80000                785   2992    0.70     6
v0.42.0_100000               783   2992    0.69     6
v0.27.0_80000                782   4200    0.69     5
v0.19.0_80000                782   4200    0.66     5
v0.13.0_60000                782   4200    0.71     5
v0.23.0_40000                779   4200    0.69     5
v0.36.0_70000                778   2995    0.69     6
v0.42.0_90000                776   2992    0.68     6
v0.22.0_60000                773   4200    0.70     5
v0.42.0_110000               771   2992    0.68     6
v0.42.0_60000                768   2992    0.68     6
v0.32.0_30000                768   2994    0.67     6
v0.42.0_120000               767   2992    0.67     6
v0.23.0_80000                766   4200    0.67     5
v0.42.0_70000                764   2991    0.67     6
v0.8.0_50000                 761   4200    0.69     5
v0.42.0_50257                758   2992    0.66     6
v0.3.0_700000                757   4200    0.65     5
v0.7.0_50000                 757   4200    0.66     5
v0.33.0_110000               757   2994    0.66     6
v0.42.0_50000                755   2992    0.66     6
v0.33.0_100000               753   2992    0.66     6
v0.33.0_90000                750   2995    0.65     6
v0.18.0_160000               750   4200    0.68     5
v0.29.0_70000                749   4199    0.65     5
v0.3.0_600000                749   4200    0.64     5
v0.13.0_70000                745   4200    0.66     5
v0.42.0_130000               741   2992    0.64     6
v0.33.0_20000                737   2994    0.64     6
v0.8.0_40000                 735   4199    0.63     5
v0.42.0_140000               733   2992    0.63     6
v0.25.0_80000                731   4200    0.65     5
v0.33.0_240000               730   2994    0.63     6
v0.7.0_30000                 729   4199    0.64     5
v0.36.0_60000                729   2994    0.63     6
v0.7.1_80000                 729   4200    0.64     5
v0.33.0_80000                727   2996    0.63     6
v0.29.0_80000                727   4200    0.63     5
v0.35.0_140000               725   2994    0.62     6
v0.7.1_70000                 725   4200    0.64     5
v0.7.1_60000                 724   4200    0.62     5
v0.42.0_150000               721   2992    0.62     6
v0.35.0_130000               720   2994    0.62     6
v0.35.0_160000               719   2997    0.61     6
v0.35.0_90000                718   2994    0.61     6
v0.32.0_20000                718   2992    0.61     6
v0.35.0_120000               716   2992    0.61     6
v0.42.0_152905               715   2992    0.61     6
v0.35.0_110000               715   2995    0.61     6
v0.35.0_80000                714   2993    0.61     6
v0.33.0_120000               714   2995    0.61     6
v0.15.0_60000                714   4200    0.64     5
v0.35.0_70000                713   2996    0.61     6
v0.35.0_100000               712   2994    0.61     6
v0.31.0_30000                711   4200    0.61     5
v0.35.0_150000               711   2993    0.60     6
v0.16.0_80000                710   4200    0.61     5
v0.12.0_30000                710   4200    0.60     5
v0.35.0_60000                710   2993    0.60     6
v0.31.0_60000                708   4200    0.60     5
v0.24.0_80000                707   4200    0.60     5
v0.29.0_60000                704   4200    0.60     5
v0.28.0_40000                702   4200    0.60     5
