
=== Leaderboard (34218 games, 1 errored) ===
player                       elo  games   score   +/-
mht                          179   2949    0.79     6
v0.27.0_80000                 67   2948    0.65     6
v0.3.0_700000                 60   2000    0.59     8
v0.8.0_80000                  51   2950    0.60     6
v0.13.0_60000                 39   2948    0.55     6
v0.14.0_70000                 31   2949    0.60     6
v0.14.0_80000                 26   2950    0.60     6
v0.33.0_240000                25   2000    0.54     8
v0.32.0_110000                25   2000    0.54     8
v0.8.0_70000                   8   2949    0.55     6
v0.33.0_90000                  4   1999    0.51     8
v0.8.0_60000                  -5   2948    0.55     6
v0.34.0_140000               -28   2000    0.46     8
v0.34.0_160000               -31   2000    0.46     8
v0.35.0_160000               -40   2000    0.44     8
v0.34.0_120000               -45   2000    0.43     8
v0.18.0_160000               -66   2950    0.47     6
v0.36.0_80000                -80   2000    0.39     8
v0.8.0_50000                -103   2948    0.41     6
v0.22.0_60000               -117   2948    0.39     6
